"会話ID","name","text","charId","演出備考"
"PROLOGUE","システム","[N:301]は静かに頷いた","","種別=会話; 行=5/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
"PROLOGUE","長老","おお…ありがとうございます。","1001","種別=会話; 行=6/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
"PROLOGUE","ガイル","頼む、俺たちも連れて行ってくれ！
あんたみたいに戦いたいんだ。","109","種別=会話; 行=7/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
"PROLOGUE","サラ","[N:109]がすみません…ただ、私からもお願いします。簡単な回復しかできませんが…","110","種別=会話; 行=8/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
"PROLOGUE","長老","お、お前たち…
しかし、道案内は必要かもしれん。連れて行ってもらえるじゃろうか。","1001","種別=会話; 行=9/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
"PROLOGUE","長老","化け物は村北東の大穴の奥に…
よろしくお願い申し上げる。","1001","種別=会話; 行=10/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
"PROLOGUE","システム","村の[N:109]と[N:110]が仲間に加わった！","","種別=会話; 行=11/11; 参照=start_adventure:actions[0]; event=start_adventure; actions=[CONV(value=""PROLOGUE"") -> ALLY(value=109) -> ALLY(value=110) -> STEP(value=1) -> SUB(value=1) -> LOG(value="""")]"
"PROLOGUE2","長老","化け物は村北東の大穴の奥に…
よろしくお願い申し上げる。","1001","種別=会話; 行=1/1; 参照=start_adventure2:actions[0]; event=start_adventure2; actions=[CONV(value=""PROLOGUE2"")]"
"START_CAVE1","","この奥には化け物がいるんだ。
今はどうにか塞いでいるが、いつまでもつか…","1002","種別=会話; 行=1/2; 参照=start_cave1:actions[0]; event=start_cave1; actions=[CONV(value=""START_CAVE1"")]"
"START_CAVE1","","あんた、冒険者か？
頼む、村の中央に住んでる長老の話を聞いてくれ。","1002","種別=会話; 行=2/2; 参照=start_cave1:actions[0]; event=start_cave1; actions=[CONV(value=""START_CAVE1"")]"
"START_CAVE2","","あんた、マジであの化け物と戦いにいくのか？
っておい、[N:109]と[N:110]までついてきたのか！？","1002","種別=会話; 行=1/5; 参照=start_cave2:actions[0]; event=start_cave2; actions=[CONV(value=""START_CAVE2"") -> CHOICE(text=""封鎖を解いて、洞穴の奥へ進みますか？""){yes:[CONV(value=""START_CAVE3"") -> MAP_CHANGE(value=""START_CAVE_GATE_OPEN"") -> SUB(value=2)]}{no:[LOG(value=""準備ができたらもう一度話しかけよう"")]}]"
"START_CAVE2","","この兄ちゃんが、俺たちを助けてくれたんだ。
俺だってこの村のために戦いたい！","109","種別=会話; 行=2/5; 参照=start_cave2:actions[0]; event=start_cave2; actions=[CONV(value=""START_CAVE2"") -> CHOICE(text=""封鎖を解いて、洞穴の奥へ進みますか？""){yes:[CONV(value=""START_CAVE3"") -> MAP_CHANGE(value=""START_CAVE_GATE_OPEN"") -> SUB(value=2)]}{no:[LOG(value=""準備ができたらもう一度話しかけよう"")]}]"
"START_CAVE2","","…化け物は、怖いですが…この人なら…
お願いします、奥へ通してください。","110","種別=会話; 行=3/5; 参照=start_cave2:actions[0]; event=start_cave2; actions=[CONV(value=""START_CAVE2"") -> CHOICE(text=""封鎖を解いて、洞穴の奥へ進みますか？""){yes:[CONV(value=""START_CAVE3"") -> MAP_CHANGE(value=""START_CAVE_GATE_OPEN"") -> SUB(value=2)]}{no:[LOG(value=""準備ができたらもう一度話しかけよう"")]}]"
"START_CAVE2","","…わかったよ。今この岩をどける。
俺は一旦長老のとこへ戻るが…","1002","種別=会話; 行=4/5; 参照=start_cave2:actions[0]; event=start_cave2; actions=[CONV(value=""START_CAVE2"") -> CHOICE(text=""封鎖を解いて、洞穴の奥へ進みますか？""){yes:[CONV(value=""START_CAVE3"") -> MAP_CHANGE(value=""START_CAVE_GATE_OPEN"") -> SUB(value=2)]}{no:[LOG(value=""準備ができたらもう一度話しかけよう"")]}]"
"START_CAVE2","","…もう一度聞くが、本当に行くんだな？","1002","種別=会話; 行=5/5; 参照=start_cave2:actions[0]; event=start_cave2; actions=[CONV(value=""START_CAVE2"") -> CHOICE(text=""封鎖を解いて、洞穴の奥へ進みますか？""){yes:[CONV(value=""START_CAVE3"") -> MAP_CHANGE(value=""START_CAVE_GATE_OPEN"") -> SUB(value=2)]}{no:[LOG(value=""準備ができたらもう一度話しかけよう"")]}]"
"START_CAVE3","","…ありがとう。あんたの無事を祈るよ。
[N:109]と[N:110]も、気を付けるんだぞ。","1002","種別=会話; 行=1/1; 参照=start_cave2:actions[1].yes[0]; event=start_cave2; actions=[CONV(value=""START_CAVE2"") -> CHOICE(text=""封鎖を解いて、洞穴の奥へ進みますか？""){yes:[CONV(value=""START_CAVE3"") -> MAP_CHANGE(value=""START_CAVE_GATE_OPEN"") -> SUB(value=2)]}{no:[LOG(value=""準備ができたらもう一度話しかけよう"")]}]"
"START_DUNGEON_CLEAR","","やったぜ！さっすが勇者様だな！！","109","種別=会話; 行=1/3; 参照=start_boss_clear:actions[0]; event=start_boss_clear; actions=[CONV(value=""START_DUNGEON_CLEAR"") -> STEP(value=2) -> SUB(value=0) -> LOG(value=""巨大な化け物を打ち倒した…！"")]"
"START_DUNGEON_CLEAR","","よかった…これで、この村も救われます。ありがとう、勇者様。","110","種別=会話; 行=2/3; 参照=start_boss_clear:actions[0]; event=start_boss_clear; actions=[CONV(value=""START_DUNGEON_CLEAR"") -> STEP(value=2) -> SUB(value=0) -> LOG(value=""巨大な化け物を打ち倒した…！"")]"
"START_DUNGEON_CLEAR","","さっそく長老さまに報告だ！いそごうぜ！！","109","種別=会話; 行=3/3; 参照=start_boss_clear:actions[0]; event=start_boss_clear; actions=[CONV(value=""START_DUNGEON_CLEAR"") -> STEP(value=2) -> SUB(value=0) -> LOG(value=""巨大な化け物を打ち倒した…！"")]"
"PROLOGUE3","長老","なんと、もうあの化け物を討伐してくださったとは！
[N:301]様、本当にありがとうございます。","1001","種別=会話; 行=1/10; 参照=start_adventure3:actions[0]; event=start_adventure3; actions=[CONV(value=""PROLOGUE3"") -> ALLY(value=109) -> ALLY(value=110) -> SUB(value=1) -> OPENING_KAMISHIBAI(flag=""openingPrologue3Viewed"")]"
"PROLOGUE3","長老","……あの穴のような異変を、わしは一度だけ知っております。","1001","種別=会話; 行=2/10; 参照=start_adventure3:actions[0]; event=start_adventure3; actions=[CONV(value=""PROLOGUE3"") -> ALLY(value=109) -> ALLY(value=110) -> SUB(value=1) -> OPENING_KAMISHIBAI(flag=""openingPrologue3Viewed"")]"
"PROLOGUE3","長老","5年ほど前でしょうか。王都の空が、夜中だというのに真昼のように白くなった日がありました。","1001","種別=会話; 行=3/10; 参照=start_adventure3:actions[0]; event=start_adventure3; actions=[CONV(value=""PROLOGUE3"") -> ALLY(value=109) -> ALLY(value=110) -> SUB(value=1) -> OPENING_KAMISHIBAI(flag=""openingPrologue3Viewed"")]"
"PROLOGUE3","長老","翌朝、井戸には虹色の膜が浮き、北の畑には細い亀裂が走っておった。
風の噂では『王都の大儀式が失敗した』と。","1001","種別=会話; 行=4/10; 参照=start_adventure3:actions[0]; event=start_adventure3; actions=[CONV(value=""PROLOGUE3"") -> ALLY(value=109) -> ALLY(value=110) -> SUB(value=1) -> OPENING_KAMISHIBAI(flag=""openingPrologue3Viewed"")]"
"PROLOGUE3","長老","何が行われたのか、村ではほとんど知ることはできませんでした。
ただ、思えばあの日から、各地でおかしなことが起き始めたように思います。","1001","種別=会話; 行=5/10; 参照=start_adventure3:actions[0]; event=start_adventure3; actions=[CONV(value=""PROLOGUE3"") -> ALLY(value=109) -> ALLY(value=110) -> SUB(value=1) -> OPENING_KAMISHIBAI(flag=""openingPrologue3Viewed"")]"
"PROLOGUE3","長老","そして今、東の炎の里では炉の火が言うことを聞かず、鍋ひとつ満足に直せぬそうです。","1001","種別=会話; 行=6/10; 参照=start_adventure3:actions[0]; event=start_adventure3; actions=[CONV(value=""PROLOGUE3"") -> ALLY(value=109) -> ALLY(value=110) -> SUB(value=1) -> OPENING_KAMISHIBAI(flag=""openingPrologue3Viewed"")]"
"PROLOGUE3","ガイル","[N:301]様！助けにいこう！！
火が使えなくなったら、装備もつくることができなくなって、魔物と戦えなくなっちまうよ。","109","種別=会話; 行=7/10; 参照=start_adventure3:actions[0]; event=start_adventure3; actions=[CONV(value=""PROLOGUE3"") -> ALLY(value=109) -> ALLY(value=110) -> SUB(value=1) -> OPENING_KAMISHIBAI(flag=""openingPrologue3Viewed"")]"
"PROLOGUE3","サラ","[N:109]ったら…でも…私も同じ気持ちです。困っている人がいるなら助けたいです。","110","種別=会話; 行=8/10; 参照=start_adventure3:actions[0]; event=start_adventure3; actions=[CONV(value=""PROLOGUE3"") -> ALLY(value=109) -> ALLY(value=110) -> SUB(value=1) -> OPENING_KAMISHIBAI(flag=""openingPrologue3Viewed"")]"
"PROLOGUE3","長老","お前たち…[N:301]様、お願いしてもよろしいでしょうか。
炎の里へ向かうなら、東の街道をお進みくだされ。","1001","種別=会話; 行=9/10; 参照=start_adventure3:actions[0]; event=start_adventure3; actions=[CONV(value=""PROLOGUE3"") -> ALLY(value=109) -> ALLY(value=110) -> SUB(value=1) -> OPENING_KAMISHIBAI(flag=""openingPrologue3Viewed"")]"
"PROLOGUE3","システム","[N:301]は、剣の柄に手を置き、静かに頷いた。","","種別=会話; 行=10/10; 参照=start_adventure3:actions[0]; event=start_adventure3; actions=[CONV(value=""PROLOGUE3"") -> ALLY(value=109) -> ALLY(value=110) -> SUB(value=1) -> OPENING_KAMISHIBAI(flag=""openingPrologue3Viewed"")]"
"START_VILLAGE_ELDER_AFTER","長老","旅支度は整いましたかな。
東の街道は火山へ続いております。","1001","種別=会話; 行=1/2; 参照=start_village_elder_after:actions[0]; event=start_village_elder_after; actions=[CONV(value=""START_VILLAGE_ELDER_AFTER"")]"
"START_VILLAGE_ELDER_AFTER","長老","戻る場所なら、ここにあります。
どうか命まで急がせぬように。","1001","種別=会話; 行=2/2; 参照=start_village_elder_after:actions[0]; event=start_village_elder_after; actions=[CONV(value=""START_VILLAGE_ELDER_AFTER"")]"
"TOWN_START_VILLAGER_1_A","村人","ずっと平和な村だったんだ。
なのに、急に山が崩れて、化け物が…","1003","種別=会話; 行=1/2; 参照=town_start_villager_1_a:actions[0]; event=town_start_villager_1_a; actions=[CONV(value=""TOWN_START_VILLAGER_1_A"")]"
"TOWN_START_VILLAGER_1_A","村人","俺は震えて動けなかった。
…子供たちを助けてくれて、ありがとな。","1003","種別=会話; 行=2/2; 参照=town_start_villager_1_a:actions[0]; event=town_start_villager_1_a; actions=[CONV(value=""TOWN_START_VILLAGER_1_A"")]"
"TOWN_START_VILLAGER_2_A","村の若者","俺も戦うって言ったんだ。
でもさ、言っただけで、膝が笑っちまって。","1002","種別=会話; 行=1/3; 参照=town_start_villager_2_a:actions[0].else[0]; event=town_start_villager_2_a; actions=[IF_FLAG(key=""luminaHerbGiftReceived""){then:[CONV(value=""TOWN_START_VILLAGER_2_AFTER_GIFT"")]}{else:[CONV(value=""TOWN_START_VILLAGER_2_A"") -> ITEM(id=1,count=5) -> FLAG(key=""luminaHerbGiftReceived"")]}]"
"TOWN_START_VILLAGER_2_A","村の若者","情けねえよな…
だからさ、せめてこの薬草持って行ってくれ。","1002","種別=会話; 行=2/3; 参照=town_start_villager_2_a:actions[0].else[0]; event=town_start_villager_2_a; actions=[IF_FLAG(key=""luminaHerbGiftReceived""){then:[CONV(value=""TOWN_START_VILLAGER_2_AFTER_GIFT"")]}{else:[CONV(value=""TOWN_START_VILLAGER_2_A"") -> ITEM(id=1,count=5) -> FLAG(key=""luminaHerbGiftReceived"")]}]"
"TOWN_START_VILLAGER_2_A","システム","「薬草」を5個手に入れた！","","種別=会話; 行=3/3; 参照=town_start_villager_2_a:actions[0].else[0]; event=town_start_villager_2_a; actions=[IF_FLAG(key=""luminaHerbGiftReceived""){then:[CONV(value=""TOWN_START_VILLAGER_2_AFTER_GIFT"")]}{else:[CONV(value=""TOWN_START_VILLAGER_2_A"") -> ITEM(id=1,count=5) -> FLAG(key=""luminaHerbGiftReceived"")]}]"
"TOWN_START_VILLAGER_2_AFTER_GIFT","村の若者","薬草、役に立ってるか？
俺も次は、渡すだけじゃなく動けるようになりたいな。","1002","種別=会話; 行=1/1; 参照=town_start_villager_2_a:actions[0].then[0]; event=town_start_villager_2_a; actions=[IF_FLAG(key=""luminaHerbGiftReceived""){then:[CONV(value=""TOWN_START_VILLAGER_2_AFTER_GIFT"")]}{else:[CONV(value=""TOWN_START_VILLAGER_2_A"") -> ITEM(id=1,count=5) -> FLAG(key=""luminaHerbGiftReceived"")]}]"
"TOWN_START_VILLAGER_3_A","薬草摘み","大穴が明いた日から、薬草が苦くなっちまった。
見な。根っこが黒くなってる。","1003","種別=会話; 行=1/2; 参照=town_start_villager_3_a:actions[0]; event=town_start_villager_3_a; actions=[CONV(value=""TOWN_START_VILLAGER_3_A"")]"
"TOWN_START_VILLAGER_3_A","薬草摘み","…傷薬にはできるさ。飲む時は、鼻をつまみな。","1003","種別=会話; 行=2/2; 参照=town_start_villager_3_a:actions[0]; event=town_start_villager_3_a; actions=[CONV(value=""TOWN_START_VILLAGER_3_A"")]"
"FIRE_VILLAGE_ELDER_BEFORE_STORY","里の長","旅の者か。すまぬが、今の里は客人をもてなす余裕がない。炉の火が日に日に弱っておる。","","種別=会話; 行=1/2; 参照=fire_village_elder_before_story:actions[0]; event=fire_village_elder_before_story; actions=[CONV(value=""FIRE_VILLAGE_ELDER_BEFORE_STORY"")]"
"FIRE_VILLAGE_ELDER_BEFORE_STORY","里の長","東の村で何かを成し、力を貸せると思ったなら、改めて声をかけてくれ。頼みたいことがある。","","種別=会話; 行=2/2; 参照=fire_village_elder_before_story:actions[0]; event=fire_village_elder_before_story; actions=[CONV(value=""FIRE_VILLAGE_ELDER_BEFORE_STORY"")]"
"TOWN_FIRE_VILLAGER_1_BEFORE","鍛冶師","こんな火、生まれてこの方見たことがない。
ずっと見てきたのに、恐いんだ。","1002","種別=会話; 行=1/2; 参照=town_fire_villager_1_before:actions[0]; event=town_fire_villager_1_before; actions=[CONV(value=""TOWN_FIRE_VILLAGER_1_BEFORE"")]"
"TOWN_FIRE_VILLAGER_1_BEFORE","鍛冶師","…火は相棒だよ。きっとこいつも悲しんでる。
……装備、鍛えてやれなくて悪いな。","1002","種別=会話; 行=2/2; 参照=town_fire_villager_1_before:actions[0]; event=town_fire_villager_1_before; actions=[CONV(value=""TOWN_FIRE_VILLAGER_1_BEFORE"")]"
"TOWN_FIRE_VILLAGER_2","里人","少し前、王国兵が火山の視察にきたんだ。
そんなこと、ずっとなかったのにな。","1003","種別=会話; 行=1/2; 参照=town_fire_villager_2:actions[0]; event=town_fire_villager_2; actions=[CONV(value=""TOWN_FIRE_VILLAGER_2"")]"
"TOWN_FIRE_VILLAGER_2","里人","思えばあれから火がおかしいんだ。
火山であいつらが何かやったんじゃないかな…","1003","種別=会話; 行=2/2; 参照=town_fire_villager_2:actions[0]; event=town_fire_villager_2; actions=[CONV(value=""TOWN_FIRE_VILLAGER_2"")]"
"TOWN_FIRE_VILLAGER_3","炭運び","火が死んでから、籠だけが軽くなっちまった。
軽い籠ってのは、妙に背中へ食い込む。","1002","種別=会話; 行=1/2; 参照=town_fire_villager_3:actions[0]; event=town_fire_villager_3; actions=[CONV(value=""TOWN_FIRE_VILLAGER_3"")]"
"TOWN_FIRE_VILLAGER_3","炭運び","楽になったはずなのにな。
背中の方が、ずっと重いってのは変な話だろ。","1002","種別=会話; 行=2/2; 参照=town_fire_villager_3:actions[0]; event=town_fire_villager_3; actions=[CONV(value=""TOWN_FIRE_VILLAGER_3"")]"
"FIRE_VILLAGE_CONSULT","里の長","……その身なりに子供が2人。
予言の勇者様、よくぞ来てくださいました。","","種別=会話; 行=1/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VILLAGE_CONSULT","里の長","火山が、日に日に荒れております。
火は暴れ、かと思えば消えていくのです。","","種別=会話; 行=2/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VILLAGE_CONSULT","里の長","これでは何も生み出せず、ただ傷つくのみ。
生活すらままなりませぬ。","","種別=会話; 行=3/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VILLAGE_CONSULT","里の長","火は、火山に眠る「プリズム」から届く恵みです。
何か、問題が起きたとしか思えません。","","種別=会話; 行=4/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VILLAGE_CONSULT","ガイル","ぜってーにそれが原因じゃんか！
火山は見に行ったのか！？","109","種別=会話; 行=5/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VILLAGE_CONSULT","里の長","…もちろん、若者を火山へ送りました。
しかし、帰ってきたのは数名。誰もかれも、酷い火傷と切り傷で、今も目を覚ましません……","","種別=会話; 行=6/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VILLAGE_CONSULT","サラ","そ、そんな…
いったい何が起きているのでしょうか…","110","種別=会話; 行=7/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VILLAGE_CONSULT","里の長","里の問題に申し訳ないのだが、お三方に危険を承知でお願いしたいのです。","","種別=会話; 行=8/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VILLAGE_CONSULT","里の長","火山の奥を確かめてくれませんでしょうか。
火を失えば、この里は終わりなのです…","","種別=会話; 行=9/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VILLAGE_CONSULT","ガイル","よし！俺と[N:110]と、[N:301]様に任せとけ！","109","種別=会話; 行=10/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VILLAGE_CONSULT","里の長","火山はこの里の北に…よろしくお願いいたします。","","種別=会話; 行=11/11; 参照=fire_village_consult:actions[0]; event=fire_village_consult; actions=[CONV(value=""FIRE_VILLAGE_CONSULT"") -> FLAG(key=""fireVillageConsulted"") -> STEP(value=2) -> SUB(value=2) -> LOG(value=""イグナ火山の異変を調査することになった。"")]"
"FIRE_VOLCANO_SHAO_JOIN","シャオ","待って。
火山へ行くなら、私も連れていって。","105","種別=会話; 行=1/4; 参照=fire_volcano_entrance:actions[0]; event=fire_volcano_entrance; actions=[CONV(value=""FIRE_VOLCANO_SHAO_JOIN"") -> CHOICE(text=""同行を許可しますか？""){yes:[ALLY(value=105) -> CONV(value=""FIRE_VOLCANO_SHAO_JOINED"") -> FLAG(key=""shaoJoinedAtVolcano"") -> STEP(value=2) -> SUB(value=3) -> CONV(value=""FIRE_VOLCANO_CURSED_FLAMES"")]}{no:[CONV(value=""FIRE_VOLCANO_SHAO_REFUSE"") -> ALLY(value=105) -> CONV(value=""FIRE_VOLCANO_SHAO_JOINED"") -> FLAG(key=""shaoJoinedAtVolcano"") -> STEP(value=2) -> SUB(value=3) -> CONV(value=""FIRE_VOLCANO_CURSED_FLAMES"")]}]"
